cycle,state,motion,row,col,heading,compass,compass_ready,gps_x,gps_y,gps_ready,ir0,ir1,ir2,ir3,ground,bumper,l_pow,r_pow,pending_dir,pose_x,pose_y,pose_theta,pose_cov_xx,pose_cov_yy,pose_cov_tt,ir0_filt,ir1_filt,ir2_filt,ir3_filt,trav_in_drive,turn_streak,reloc_delta,event
0,WaitStart,Idle,0,0,East,4.00,true,0.000,0.000,false,0.50,2.70,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.70,2.60,0.50,-1.000,0,0,
1,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.50,2.40,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.70,2.60,0.60,-1.000,0,0,
2,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.60,2.30,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.40,2.50,0.60,-1.000,0,0,
3,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.50,2.50,2.30,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
4,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.60,2.50,2.40,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.60,-1.000,0,0,
5,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.60,2.30,2.50,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.40,2.40,0.60,-1.000,0,0,
6,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.40,2.60,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
7,WaitStart,Idle,0,0,East,3.00,true,0.000,0.000,false,0.50,2.30,2.60,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
8,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.50,2.50,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
9,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.70,2.60,2.70,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
10,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.60,2.80,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.60,2.50,0.60,-1.000,0,0,
11,WaitStart,Idle,0,0,East,-3.00,true,0.000,0.000,false,0.50,2.50,2.70,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.60,0.60,-1.000,0,0,
12,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.60,2.50,2.60,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.60,0.60,-1.000,0,0,
13,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.50,2.40,2.50,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.60,0.60,-1.000,0,0,
14,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.60,2.40,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
15,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.40,2.40,2.60,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.40,2.60,0.60,-1.000,0,0,
16,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.40,2.30,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.40,2.50,0.60,-1.000,0,0,
17,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.70,2.60,2.30,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.40,2.50,0.60,-1.000,0,0,
18,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.60,2.40,2.50,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.40,2.50,0.60,-1.000,0,0,
19,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.50,2.60,2.50,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.40,2.50,0.60,-1.000,0,0,
20,WaitStart,Idle,0,0,East,-3.00,true,0.000,0.000,false,0.70,2.50,2.50,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.70,-1.000,0,0,
21,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.60,2.50,2.60,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.70,-1.000,0,0,
22,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.60,2.60,2.60,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.70,-1.000,0,0,
23,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.80,2.50,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.60,0.70,-1.000,0,0,
24,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.50,2.50,2.40,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.60,0.70,-1.000,0,0,
25,WaitStart,Idle,0,0,East,3.00,true,0.000,0.000,false,0.50,2.50,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.60,0.70,-1.000,0,0,
26,WaitStart,Idle,0,0,East,3.00,true,0.000,0.000,false,0.50,2.50,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
27,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.50,2.40,2.50,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
28,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.60,2.50,2.40,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
29,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.50,2.50,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
30,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.60,2.50,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
31,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.50,2.60,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.50,-1.000,0,0,
32,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.50,2.40,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.50,-1.000,0,0,
33,WaitStart,Idle,0,0,East,-4.00,true,0.000,0.000,false,0.50,2.50,2.60,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
34,WaitStart,Idle,0,0,East,3.00,true,0.000,0.000,false,0.60,2.50,2.50,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
35,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.60,2.40,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
36,WaitStart,Idle,0,0,East,-4.00,true,0.000,0.000,false,0.70,2.50,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
37,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.60,2.50,2.60,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
38,WaitStart,Idle,0,0,East,4.00,true,0.000,0.000,false,0.40,2.50,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.50,-1.000,0,0,
39,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.50,2.60,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
40,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.70,2.40,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
41,WaitStart,Idle,0,0,East,4.00,true,0.000,0.000,false,0.50,2.50,2.50,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
42,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.80,2.60,2.60,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
43,WaitStart,Idle,0,0,East,-6.00,true,0.000,0.000,false,0.60,2.40,2.50,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
44,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.70,2.40,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.70,2.40,2.50,0.60,-1.000,0,0,
45,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.60,2.50,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
46,WaitStart,Idle,0,0,East,-3.00,true,0.000,0.000,false,0.40,2.50,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
47,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.60,2.40,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.40,2.50,0.60,-1.000,0,0,
48,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.70,2.60,2.70,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
49,WaitStart,Idle,0,0,East,3.00,true,0.000,0.000,false,0.60,2.40,2.50,0.90,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
50,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.70,2.50,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
51,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.50,2.60,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
52,WaitStart,Idle,0,0,East,-4.00,true,0.000,0.000,false,0.60,2.40,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
53,WaitStart,Idle,0,0,East,-3.00,true,0.000,0.000,false,0.40,2.60,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
54,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.50,2.60,2.50,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.60,2.50,0.50,-1.000,0,0,
55,WaitStart,Idle,0,0,East,3.00,true,0.000,0.000,false,0.60,2.50,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.60,2.50,0.50,-1.000,0,0,
56,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.50,2.50,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
57,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.60,2.70,2.40,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.60,2.50,0.50,-1.000,0,0,
58,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.50,2.50,2.50,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
59,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.70,2.50,2.50,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
60,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.50,2.40,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
61,WaitStart,Idle,0,0,East,-3.00,true,0.000,0.000,false,0.30,2.50,2.30,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.70,-1.000,0,0,
62,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.60,2.40,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
63,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.60,2.50,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.40,0.50,-1.000,0,0,
64,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.60,2.50,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.40,0.50,-1.000,0,0,
65,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.50,2.40,2.50,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.40,0.50,-1.000,0,0,
66,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.70,2.40,2.70,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.40,2.50,0.50,-1.000,0,0,
67,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.70,2.60,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
68,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.60,2.60,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.50,-1.000,0,0,
69,WaitStart,Idle,0,0,East,5.00,true,0.000,0.000,false,0.70,2.60,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.70,2.60,2.50,0.50,-1.000,0,0,
70,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.50,2.50,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.70,2.60,2.40,0.60,-1.000,0,0,
71,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.50,2.40,2.30,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.60,2.40,0.50,-1.000,0,0,
72,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.60,2.50,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.40,0.50,-1.000,0,0,
73,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.70,2.60,2.50,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.40,0.50,-1.000,0,0,
74,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.70,2.60,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.50,-1.000,0,0,
75,WaitStart,Idle,0,0,East,5.00,true,0.000,0.000,false,0.60,2.50,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.50,-1.000,0,0,
76,WaitStart,Idle,0,0,East,3.00,true,0.000,0.000,false,0.50,2.50,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.50,-1.000,0,0,
77,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.70,2.60,2.70,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.70,2.60,2.50,0.50,-1.000,0,0,
78,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.60,2.60,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.60,2.50,0.60,-1.000,0,0,
79,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.50,2.50,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.50,-1.000,0,0,
80,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.60,2.60,2.70,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.60,2.60,0.50,-1.000,0,0,
81,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.40,2.60,2.50,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.60,2.60,0.60,-1.000,0,0,
82,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.70,2.50,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.60,2.50,0.50,-1.000,0,0,
83,WaitStart,Idle,0,0,East,3.00,true,0.000,0.000,false,0.30,2.50,2.40,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
84,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.50,2.50,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
85,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.60,2.50,2.70,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
86,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.70,2.50,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.40,0.50,-1.000,0,0,
87,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.50,2.50,2.60,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.60,-1.000,0,0,
88,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.50,2.40,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.60,-1.000,0,0,
89,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.60,2.50,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
90,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.50,2.60,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
91,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.50,2.30,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.60,0.50,-1.000,0,0,
92,WaitStart,Idle,0,0,East,-4.00,true,0.000,0.000,false,0.50,2.60,2.50,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
93,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.70,2.40,2.30,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
94,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.40,2.30,2.60,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.40,2.60,0.50,-1.000,0,0,
95,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.60,2.50,2.70,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.40,2.60,0.50,-1.000,0,0,
96,WaitStart,Idle,0,0,East,-3.00,true,0.000,0.000,false,0.50,2.50,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.50,-1.000,0,0,
97,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.60,2.40,2.40,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.40,2.40,0.50,-1.000,0,0,
98,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.60,2.40,2.50,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.40,2.50,0.50,-1.000,0,0,
99,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.60,2.60,2.50,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.50,-1.000,0,0,
100,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.50,2.50,2.50,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.50,-1.000,0,0,
101,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.60,2.50,2.50,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.70,-1.000,0,0,
102,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.60,2.40,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.70,-1.000,0,0,
103,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.70,2.50,2.60,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
104,WaitStart,Idle,0,0,East,-6.00,true,0.000,0.000,false,0.60,2.50,2.50,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.70,-1.000,0,0,
105,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.50,2.50,2.50,0.70,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.70,-1.000,0,0,
106,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.60,2.50,2.30,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
107,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.50,2.50,2.60,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
108,WaitStart,Idle,0,0,East,2.00,true,0.000,0.000,false,0.50,2.40,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.50,0.60,-1.000,0,0,
109,WaitStart,Idle,0,0,East,-1.00,true,0.000,0.000,false,0.60,2.40,2.40,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.60,-1.000,0,0,
110,WaitStart,Idle,0,0,East,0.00,true,0.000,0.000,false,0.50,2.50,2.30,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.60,-1.000,0,0,
111,WaitStart,Idle,0,0,East,3.00,true,0.000,0.000,false,0.60,2.50,2.60,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.60,-1.000,0,0,
112,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.50,2.60,2.20,0.60,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.50,2.50,2.40,0.60,-1.000,0,0,
113,WaitStart,Idle,0,0,East,-2.00,true,0.000,0.000,false,0.60,2.50,2.60,0.50,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.40,0.60,-1.000,0,0,
114,WaitStart,Idle,0,0,East,1.00,true,0.000,0.000,false,0.60,2.50,2.50,0.40,-1,false,0.0000,0.0000,,0.000,0.000,0.00,0.00000,0.00000,0.00000,0.60,2.50,2.50,0.60,-1.000,0,0,
